Filename,Full Path,Path,Sample,Start Time,Error,Output,Check Duration (s)
Iron Man (2008) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man (2008)/Iron Man (2008) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man (2008),2,1137.48,no,,2.17
Iron Man (2008) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man (2008)/Iron Man (2008) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man (2008),3,339.38,no,,2.0
Iron Man (2008) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man (2008)/Iron Man (2008) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man (2008),4,3170.23,no,,3.92
Iron Man (2008) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man (2008)/Iron Man (2008) Remux-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man (2008),5,4643.71,no,,3.3
Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man 3 (2013)/Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man 3 (2013),1,0,no,,3.45
Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man 3 (2013)/Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man 3 (2013),2,2660.38,no,,1.98
Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man 3 (2013)/Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man 3 (2013),3,6778.31,no,,3.02
Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man 3 (2013)/Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man 3 (2013),4,4253.3,no,,2.08
Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man 3 (2013)/Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Iron Man 3 (2013),5,5354.18,no,,2.8
Isle of Dogs (2018) WEBDL-2160p.mkv,/Volumes/media/media/movies/Isle of Dogs (2018)/Isle of Dogs (2018) WEBDL-2160p.mkv,/Volumes/media/media/movies/Isle of Dogs (2018),1,0,no,,1.07
Isle of Dogs (2018) WEBDL-2160p.mkv,/Volumes/media/media/movies/Isle of Dogs (2018)/Isle of Dogs (2018) WEBDL-2160p.mkv,/Volumes/media/media/movies/Isle of Dogs (2018),2,5220.6,no,,2.09
Isle of Dogs (2018) WEBDL-2160p.mkv,/Volumes/media/media/movies/Isle of Dogs (2018)/Isle of Dogs (2018) WEBDL-2160p.mkv,/Volumes/media/media/movies/Isle of Dogs (2018),3,1037.01,no,,3.3
Isle of Dogs (2018) WEBDL-2160p.mkv,/Volumes/media/media/movies/Isle of Dogs (2018)/Isle of Dogs (2018) WEBDL-2160p.mkv,/Volumes/media/media/movies/Isle of Dogs (2018),4,536.17,no,,3.6
Isle of Dogs (2018) WEBDL-2160p.mkv,/Volumes/media/media/movies/Isle of Dogs (2018)/Isle of Dogs (2018) WEBDL-2160p.mkv,/Volumes/media/media/movies/Isle of Dogs (2018),5,4288.81,no,,2.19
John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/John Wick Chapter 4 (2023)/John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/John Wick Chapter 4 (2023),1,0,no,,3.14
John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/John Wick Chapter 4 (2023)/John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/John Wick Chapter 4 (2023),2,2758.69,no,,2.55
John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/John Wick Chapter 4 (2023)/John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/John Wick Chapter 4 (2023),3,4571.36,no,,2.51
John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/John Wick Chapter 4 (2023)/John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/John Wick Chapter 4 (2023),4,9225.03,no,,2.88
John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/John Wick Chapter 4 (2023)/John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/John Wick Chapter 4 (2023),5,5993.08,no,,1.93
Joker (2019) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Joker (2019)/Joker (2019) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Joker (2019),1,0,no,,1.64
Joker (2019) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Joker (2019)/Joker (2019) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Joker (2019),2,7049.53,no,,1.21
Joker (2019) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Joker (2019)/Joker (2019) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Joker (2019),3,2040.91,no,,3.21
Joker (2019) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Joker (2019)/Joker (2019) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Joker (2019),4,5082.7,no,,3.45
Joker (2019) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Joker (2019)/Joker (2019) WEBDL-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Joker (2019),5,6530.99,no,,3.66
Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Jurassic Park (1993)/Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Jurassic Park (1993),1,0,no,,2.35
Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Jurassic Park (1993)/Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Jurassic Park (1993),2,5248.88,no,,2.59
Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Jurassic Park (1993)/Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Jurassic Park (1993),3,3943.06,no,,2.77
Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Jurassic Park (1993)/Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Jurassic Park (1993),4,6498.94,no,,2.79
Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Jurassic Park (1993)/Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/Jurassic Park (1993),5,1593.14,no,,2.5
Kaizers Orchestra - Live i Oslo Spektrum (2011) HDTV-720p.mkv,/Volumes/media/media/movies/Kaizers Orchestra - Live i Oslo Spektrum (2011)/Kaizers Orchestra - Live i Oslo Spektrum (2011) HDTV-720p.mkv,/Volumes/media/media/movies/Kaizers Orchestra - Live i Oslo Spektrum (2011),1,0,no,,0.4
Kaizers Orchestra - Live i Oslo Spektrum (2011) HDTV-720p.mkv,/Volumes/media/media/movies/Kaizers Orchestra - Live i Oslo Spektrum (2011)/Kaizers Orchestra - Live i Oslo Spektrum (2011) HDTV-720p.mkv,/Volumes/media/media/movies/Kaizers Orchestra - Live i Oslo Spektrum (2011),2,477.49,no,,1.0
Kaizers Orchestra - Live i Oslo Spektrum (2011) HDTV-720p.mkv,/Volumes/media/media/movies/Kaizers Orchestra - Live i Oslo Spektrum (2011)/Kaizers Orchestra - Live i Oslo Spektrum (2011) HDTV-720p.mkv,/Volumes/media/media/movies/Kaizers Orchestra - Live i Oslo Spektrum (2011),3,6290.32,no,,0.76
