Filename,Full Path,Path,Sample,Start Time,Error,Output,Check Duration (s)
101 Dalmatians (1996) WEBRip-1080p.mkv,/Volumes/media/media/movies/101 Dalmatians (1996)/101 Dalmatians (1996) WEBRip-1080p.mkv,/Volumes/media/media/movies/101 Dalmatians (1996),1,0,no,,2.51
101 Dalmatians (1996) WEBRip-1080p.mkv,/Volumes/media/media/movies/101 Dalmatians (1996)/101 Dalmatians (1996) WEBRip-1080p.mkv,/Volumes/media/media/movies/101 Dalmatians (1996),2,2023.84,no,,1.85
101 Dalmatians (1996) WEBRip-1080p.mkv,/Volumes/media/media/movies/101 Dalmatians (1996)/101 Dalmatians (1996) WEBRip-1080p.mkv,/Volumes/media/media/movies/101 Dalmatians (1996),3,1260.36,no,,1.79
2 Fast 2 Furious (2003) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2 Fast 2 Furious (2003)/2 Fast 2 Furious (2003) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2 Fast 2 Furious (2003),1,0,no,,2.49
2 Fast 2 Furious (2003) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2 Fast 2 Furious (2003)/2 Fast 2 Furious (2003) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2 Fast 2 Furious (2003),2,4086.64,no,,5.37
2 Fast 2 Furious (2003) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2 Fast 2 Furious (2003)/2 Fast 2 Furious (2003) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2 Fast 2 Furious (2003),3,1088.94,no,,4.15
2001 A Space Odyssey (1968) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2001 A Space Odyssey (1968)/2001 A Space Odyssey (1968) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2001 A Space Odyssey (1968),1,0,no,,1.37
2001 A Space Odyssey (1968) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2001 A Space Odyssey (1968)/2001 A Space Odyssey (1968) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2001 A Space Odyssey (1968),2,6555.91,no,,3.48
2001 A Space Odyssey (1968) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2001 A Space Odyssey (1968)/2001 A Space Odyssey (1968) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2001 A Space Odyssey (1968),3,3955.55,no,,4.02
2012 (2009) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2012 (2009)/2012 (2009) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2012 (2009),1,0,no,,2.32
2012 (2009) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2012 (2009)/2012 (2009) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2012 (2009),2,7722.23,no,,4.76
2012 (2009) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2012 (2009)/2012 (2009) Bluray-2160p SDR Handbrake.mkv,/Volumes/media/media/movies/2012 (2009),3,5097.93,no,,3.55
21 (2008) Bluray-1080p.mkv,/Volumes/media/media/movies/21 (2008)/21 (2008) Bluray-1080p.mkv,/Volumes/media/media/movies/21 (2008),1,0,no,,1.27
21 (2008) Bluray-1080p.mkv,/Volumes/media/media/movies/21 (2008)/21 (2008) Bluray-1080p.mkv,/Volumes/media/media/movies/21 (2008),2,349.92,no,,1.16
21 (2008) Bluray-1080p.mkv,/Volumes/media/media/movies/21 (2008)/21 (2008) Bluray-1080p.mkv,/Volumes/media/media/movies/21 (2008),3,5886.5,no,,1.35
