Filename,Full Path,Path,Sample,Start Time,Error,Output,Check Duration (s)
Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/,1,0,yes,"[null @ 0x11ce045c0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 194024 >= 194016
    Last message repeated 3 times
[null @ 0x11ce045c0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 245240 >= 245232
    Last message repeated 5 times
[null @ 0x11ce045c0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 340472 >= 340464
    Last message repeated 2 times
[null @ 0x11ce045c0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 395240 >= 395232
    Last message repeated 1 times",1.23
Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/,2,3269.62,yes,"[null @ 0x11db044d0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 26120 >= 26112
    Last message repeated 5 times
[null @ 0x11db044d0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 84488 >= 84480
    Last message repeated 2 times
[null @ 0x11db044d0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 144392 >= 144384
    Last message repeated 5 times
[null @ 0x11db044d0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 206840 >= 206832
    Last message repeated 2 times
[null @ 0x11db044d0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 274952 >= 274944
    Last message repeated 6 times
[null @ 0x11db044d0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 341000 >= 340992
    Last message repeated 6 times
[null @ 0x11db044d0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 407048 >= 407040
    Last message repeated 6 times
[null @ 0x11db044d0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 452600 >= 452592
    Last message repeated 5 times",1.26
Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/Sleeping Beauty (1959) Bluray-1080p.mkv,/Volumes/media/media/movies/Sleeping Beauty (1959)/,3,3472.4,yes,"[null @ 0x12f2045c0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 43496 >= 43488
    Last message repeated 4 times
[null @ 0x12f2045c0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 174584 >= 174576
[null @ 0x12f2045c0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 240632 >= 240624
    Last message repeated 2 times
[null @ 0x12f2045c0] Application provided invalid, non monotonically increasing dts to muxer in stream 1: 337400 >= 337392
    Last message repeated 3 times",0.93
