"File","Extension","File Path","Filename","File Size","Container Format","Codec","Codec Long Name","Profile","Level","Bitrate","Width","Height","Color Space","Color Primaries","Color Transfer","Color Range","Chroma Location","Field Order","Refs","Bits per Raw Sample","Pixel Format","HDR","Bit Depth","Duration","Frame Rate","Audio Codecs","Audio Codec Long Names","Audio Channels","Audio Sample Rates","Audio Bitrates","Audio Bit Depth","Audio Stream Count","Subtitle Languages","Subtitle Formats","Subtitle Stream Count","Creation Date","Modification Date","Issue Detected","Issue Description"
"/Volumes/media/media/movies/Guardians of the Galaxy (2014)/Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Guardians of the Galaxy (2014)","Guardians of the Galaxy (2014) Remux-2160p SDR Handbrake.mkv","17640298132","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19462681","3840","1600","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","7250.922000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1724183872.2753541","1724183872.2753541","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1600"
"/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017)/Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Guardians of the Galaxy Vol. 2 (2017)","Guardians of the Galaxy Vol. 2 (2017) Remux-2160p SDR Handbrake.mkv","19942354527","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19583790","3840","1604","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","8146.474000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1724193851.914533","1724193851.914533","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1604"
"/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023)/Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Guardians of the Galaxy Vol. 3 (2023)","Guardians of the Galaxy Vol. 3 (2023) Remux-2160p SDR Handbrake.mkv","22228625015","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19753439","3840","1608","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","9002.432000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1724207429.3728936","1724207429.3728936","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1608"
"/Volumes/media/media/movies/Hacksaw Ridge (2016)/Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Hacksaw Ridge (2016)","Hacksaw Ridge (2016) Remux-2160p SDR Handbrake.mkv","20266181041","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19394762","3840","1612","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","8359.445000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1724447330.350069","1724447330.350069","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1612"
"/Volumes/media/media/movies/Hamilton (2020)/Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Hamilton (2020)","Hamilton (2020) WEBDL-2160p SDR Handbrake.mkv","23845771675","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19838544","3840","2074","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","9615.936000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723185604.445241","1723185604.445241","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x2074"
"/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010)/Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 1 (2010)","Harry Potter and the Deathly Hallows Part 1 (2010) Remux-2160p SDR Handbrake.mkv","20910427769","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19084708","3840","1600","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","8765.312000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723215011.514692","1723215011.514692","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1600"
"/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011)/Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Harry Potter and the Deathly Hallows Part 2 (2011)","Harry Potter and the Deathly Hallows Part 2 (2011) Remux-2160p SDR Handbrake.mkv","18420053580","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","18828764","3840","1600","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","7826.346000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723225949.7848089","1723225949.7848089","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1600"
"/Volumes/media/media/movies/Harry Potter and the Goblet of Fire (2005)/Harry Potter and the Goblet of Fire (2005) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Harry Potter and the Goblet of Fire (2005)","Harry Potter and the Goblet of Fire (2005) Remux-2160p SDR Handbrake.mkv","22889822402","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19427738","3840","1600","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","9425.625000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723239552.3356235","1723239552.3356235","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1600"
"/Volumes/media/media/movies/Headhunters (2011)/Headhunters (2011) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Headhunters (2011)","Headhunters (2011) Bluray-1080p.mkv","5736272350","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","120","7640642","1920","800","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p10le","No","10","6006.063000","24.000","aac","AAC (Advanced Audio Coding)","6","48000","N/A","N/A","1","nor, nor","hdmv_pgs_subtitle, hdmv_pgs_subtitle","2","1662154292.7948403","1662154292.7948403","Yes","Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle && Non-standard resolution: 1920x800 && High bit depth video: 10-bit"
"/Volumes/media/media/movies/Hercules (1997)/Hercules (1997) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Hercules (1997)","Hercules (1997) Bluray-1080p.mkv","3073694350","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","4397097","1920","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","5592.224000","23.976","dts, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3)","6, 6","48000, 48000","1536000, 448000","N/A, N/A","2","eng, eng, nor, nor","subrip, subrip, ass, ass","4","1724542532.4210484","1724542532.4210484","Yes","Non-standard audio codec(s): dts"
"/Volumes/media/media/movies/Home on the Range (2004)/Home on the Range (2004) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Home on the Range (2004)","Home on the Range (2004) Bluray-1080p.mkv","3208172646","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","5612971","1920","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","4572.512000","23.976","dts, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3)","6, 6","48000, 48000","1536000, 448000","N/A, N/A","2","eng, nor, nor, nor","ass, ass, ass, ass","4","1724542935.0858452","1724542935.0858452","Yes","Non-standard audio codec(s): dts"
"/Volumes/media/media/movies/Hotel Rwanda (2004)/Hotel Rwanda (2004) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Hotel Rwanda (2004)","Hotel Rwanda (2004) Bluray-1080p.mkv","5778089385","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","120","6322389","1920","816","N/A","N/A","N/A","tv","left","N/A","1","N/A","yuv420p10le","No","10","7311.273000","23.976","dts, aac","DCA (DTS Coherent Acoustics), AAC (Advanced Audio Coding)","6, 2","48000, 48000","1536000, N/A","N/A, N/A","2","eng, eng, fre, rus, ukr, swe, dan, fin, nor","subrip, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, subrip, subrip, subrip, subrip","9","1697274962.4479933","1697274962.4479933","Yes","Non-standard audio codec(s): dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && Non-standard resolution: 1920x816 && High bit depth video: 10-bit && High number of subtitle streams: 9"
"/Volumes/media/media/movies/I Love You, Man (2009)/I Love You, Man (2009) Remux-1080p.mkv","mkv","/Volumes/media/media/movies/I Love You, Man (2009)","I Love You, Man (2009) Remux-1080p.mkv","6704558855","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","8532274","1920","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","6286.304000","23.976","truehd, ac3, ac3","TrueHD, ATSC A/52A (AC-3), ATSC A/52A (AC-3)","6, 6, 2","48000, 48000, 48000","N/A, 640000, 224000","24, N/A, N/A","3","eng, ara, bul, hrv, cze, est, gre, heb, hun, ice, lav, lit, pol, por, rum, rus, srp, slo, slv, tur, ukr, eng","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","22","1724551343.8077114","1724551343.8077114","Yes","Non-standard audio codec(s): truehd && Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && High number of subtitle streams: 22"
"/Volumes/media/media/movies/Idiocracy (2006)/Idiocracy (2006) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Idiocracy (2006)","Idiocracy (2006) WEBDL-2160p.mkv","4058567880","matroska,webm","hevc (+1)","H.265 / HEVC (High Efficiency Video Coding) (+1)","Main 10 (+1)","150 (+1)","6425406","3840","2064","N/A","N/A","N/A","tv","left","N/A","1","N/A","yuv420p10le","No","10","5053.150000","23.976","aac","AAC (Advanced Audio Coding)","6","48000","N/A","N/A","1","eng, chi, hrv, dan, dut, fin, fre, heb, ind, nor, por, spa, tha, vie","subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip","14","1680815099.0999563","1680815099.0999563","Yes","Non-standard video codec: hevc (+1) && Non-standard resolution: 3840x2064 && High bit depth video: 10-bit && High number of subtitle streams: 14"
"/Volumes/media/media/movies/Inception (2010)/Inception (2010) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Inception (2010)","Inception (2010) Remux-2160p SDR Handbrake.mkv","21429191018","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19287415","3840","1598","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","8888.362000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723304158.5711772","1723304158.5711772","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1598"
"/Volumes/media/media/movies/Independence Day (1996)/Independence Day (1996) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Independence Day (1996)","Independence Day (1996) Bluray-1080p.mkv","4687426617","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","120","4070105","1920","800","N/A","N/A","N/A","tv","left","N/A","1","N/A","yuv420p10le","No","10","9213.376000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","640000","N/A","1","eng, eng, swe, fin, nor, dan, dut, ger, ger, fre, fre, ita, ita, spa, spa, spa, spa, por, por","hdmv_pgs_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle","19","1697299783.5850985","1697299783.5850985","Yes","Potentially problematic subtitle format(s): hdmv_pgs_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle, dvd_subtitle && Non-standard resolution: 1920x800 && High bit depth video: 10-bit && High number of subtitle streams: 19"
"/Volumes/media/media/movies/Indiana Jones and the Dial of Destiny (2023)/Indiana Jones and the Dial of Destiny (2023) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Indiana Jones and the Dial of Destiny (2023)","Indiana Jones and the Dial of Destiny (2023) WEBDL-2160p.mkv","24481573968","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","21086847","3840","1608","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p10le","No","10","9287.903000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","768000","N/A","1","eng, dan, fin, nor, swe","subrip, subrip, subrip, subrip, subrip","5","1694108349.860257","1694108349.860257","Yes","High bitrate (21.09 Mbps) may cause buffering && Non-standard resolution: 3840x1608 && High bit depth video: 10-bit"
"/Volumes/media/media/movies/Inglourious Basterds (2009)/Inglourious Basterds (2009) WEBDL-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Inglourious Basterds (2009)","Inglourious Basterds (2009) WEBDL-2160p SDR Handbrake.mkv","22564546090","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19664756","3840","1600","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","9179.690000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723312726.9941869","1723312726.9941869","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1600"
"/Volumes/media/media/movies/Inside Job (2010)/Inside Job (2010) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Inside Job (2010)","Inside Job (2010) Bluray-1080p.mkv","3518850573","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","4318598","1920","824","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","6518.505000","23.976","dts","DCA (DTS Coherent Acoustics)","6","48000","1536000","N/A","1","dan, swe, nor","subrip, subrip, subrip","3","1724550198.4956596","1724550198.4956596","Yes","Non-standard audio codec(s): dts && Non-standard resolution: 1920x824"
"/Volumes/media/media/movies/Inside Out (2015)/Inside Out (2015) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Inside Out (2015)","Inside Out (2015) WEBDL-2160p.mkv","11911993318","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","16782182","3840","2160","N/A","N/A","N/A","pc","left","N/A","1","N/A","yuv420p10le","No","10","5678.400000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","256000","N/A","1","eng, eng, spa, chi","subrip, subrip, subrip, subrip","4","1710518633.0","1710518633.0","Yes","High bit depth video: 10-bit"
"/Volumes/media/media/movies/Interstellar (2014)/Interstellar (2014) Bluray-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Interstellar (2014)","Interstellar (2014) Bluray-2160p SDR Handbrake.mkv","24662836147","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19449655","3840","2160","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","10144.277000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723325700.632025","1723325700.632025","Yes","Unknown metadata: Some file information couldn't be determined"
"/Volumes/media/media/movies/Iron Man (2008)/Iron Man (2008) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Iron Man (2008)","Iron Man (2008) Remux-2160p SDR Handbrake.mkv","18180854252","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19239976","3840","1600","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","7559.616000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1724496746.4071255","1724496746.4071255","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1600"
"/Volumes/media/media/movies/Iron Man 3 (2013)/Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Iron Man 3 (2013)","Iron Man 3 (2013) WEBDL-2160p SDR Handbrake.mkv","19349818131","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19668606","3840","1598","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","7870.336000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1724519036.6034415","1724519036.6034415","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1598"
"/Volumes/media/media/movies/Isle of Dogs (2018)/Isle of Dogs (2018) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Isle of Dogs (2018)","Isle of Dogs (2018) WEBDL-2160p.mkv","9196116070","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","12124273","3840","2160","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p10le","No","10","6067.904000","23.976","ac3","ATSC A/52A (AC-3)","6","48000","384000","N/A","1","ara, bul, cze, chi, dan, ger, gre, eng, eng, est, fin, fre, heb, hrv, hun, ind, ice, ita, kor, lav, lit, may, dut, nor, pol, por, por, rum, rus, slo, slv, spa, srp, swe, tha, tur, ukr, vie","subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip","38","1680820679.9632883","1680820679.9632883","Yes","High bit depth video: 10-bit && High number of subtitle streams: 38"
"/Volumes/media/media/movies/John Wick Chapter 4 (2023)/John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/John Wick Chapter 4 (2023)","John Wick Chapter 4 (2023) Bluray-2160p SDR Handbrake.mkv","25321446823","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19941623","3840","1608","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","10158.229000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1724554689.445356","1724554689.445356","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1608"
"/Volumes/media/media/movies/Joker (2019)/Joker (2019) WEBDL-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Joker (2019)","Joker (2019) WEBDL-2160p SDR Handbrake.mkv","17679041823","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19354354","3840","2076","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","7307.520000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1724574836.3089433","1724574836.3089433","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x2076"
"/Volumes/media/media/movies/Jurassic Park (1993)/Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Jurassic Park (1993)","Jurassic Park (1993) Bluray-2160p SDR Handbrake.mkv","18401249165","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19400232","3840","2076","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","7588.053000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1724585756.4275084","1724585756.4275084","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x2076"
"/Volumes/media/media/movies/Kaizers Orchestra - Live i Oslo Spektrum (2011)/Kaizers Orchestra - Live i Oslo Spektrum (2011) HDTV-720p.mkv","mkv","/Volumes/media/media/movies/Kaizers Orchestra - Live i Oslo Spektrum (2011)","Kaizers Orchestra - Live i Oslo Spektrum (2011) HDTV-720p.mkv","1713916756","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","93","2169240","1280","720","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","6320.800000","25.000","mp2","MP2 (MPEG audio layer 2)","2","48000","256000","N/A","1","","","0","1724569839.856254","1724569839.856254","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard audio codec(s): mp2"
"/Volumes/media/media/movies/Karpe Diem - Adjo Montebello (2017)/Karpe.Diem.Adjo.Montebello.2017.1080p.WEB-DL.x264-NORSKT.mkv","mkv","/Volumes/media/media/movies/Karpe Diem - Adjo Montebello (2017)","Karpe.Diem.Adjo.Montebello.2017.1080p.WEB-DL.x264-NORSKT.mkv","1931927864","matroska,webm","hevc (+1)","H.265 / HEVC (High Efficiency Video Coding) (+1)","Main (+1)","120 (+1)","2464633","1920","806","bt709","bt709","bt709","tv","left","progressive","1","N/A","yuv420p","No","N/A","6270.880000","25.000","ac3","ATSC A/52A (AC-3)","6","48000","384000","N/A","1","nor, eng","subrip, subrip","2","1724570610.8557472","1724570610.8557472","Yes","Non-standard video codec: hevc (+1) && Non-standard resolution: 1920x806"
"/Volumes/media/media/movies/Karpe Diem - I Oslo Spektrum (2011)/karpe.diem.i.oslo.spektrum.internal.norwegian.720p.hdtv.x264-tvstue.mkv","mkv","/Volumes/media/media/movies/Karpe Diem - I Oslo Spektrum (2011)","karpe.diem.i.oslo.spektrum.internal.norwegian.720p.hdtv.x264-tvstue.mkv","2532613028","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","93","3204419","1280","720","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","6322.800000","25.000","mp2","MP2 (MPEG audio layer 2)","2","48000","256000","N/A","1","","","0","1724571140.4507136","1724571140.4507136","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard audio codec(s): mp2"
"/Volumes/media/media/movies/Kill Bill Vol. 1 (2003)/Kill Bill Vol. 1 (2003) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Kill Bill Vol. 1 (2003)","Kill Bill Vol. 1 (2003) Bluray-1080p.mkv","4489204235","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","120","5405694","1920","800","N/A","N/A","N/A","tv","left","N/A","1","N/A","yuv420p10le","No","10","6643.667000","23.976","aac","AAC (Advanced Audio Coding)","6","48000","N/A","N/A","1","eng, eng, eng, ger, ger","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","5","1697632421.7454352","1697632421.7454352","Yes","Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && Non-standard resolution: 1920x800 && High bit depth video: 10-bit"
"/Volumes/media/media/movies/Kill Bill Vol. 2 (2004)/Kill Bill Vol. 2 (2004) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Kill Bill Vol. 2 (2004)","Kill Bill Vol. 2 (2004) Bluray-1080p.mkv","5602388313","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","120","5453869","1920","800","N/A","N/A","N/A","tv","left","N/A","1","N/A","yuv420p10le","No","10","8217.855000","23.976","aac","AAC (Advanced Audio Coding)","6","48000","N/A","N/A","1","eng, eng, eng, ita, spa, ita, spa","hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle","7","1697634529.1108894","1697634529.1108894","Yes","Potentially problematic subtitle format(s): hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle, hdmv_pgs_subtitle && Non-standard resolution: 1920x800 && High bit depth video: 10-bit && High number of subtitle streams: 7"
"/Volumes/media/media/movies/Kristopher Schau - Ti år med juling - på tide å få betalt! (2004)/Kristopher Schau - Ti år med juling - på tide å få betalt!-cd1.mkv","mkv","/Volumes/media/media/movies/Kristopher Schau - Ti år med juling - på tide å få betalt! (2004)","Kristopher Schau - Ti år med juling - på tide å få betalt!-cd1.mkv","636507790","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","90","911967","640","352","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","5583.600000","25.000","mp3","MP3 (MPEG audio layer 3)","2","48000","128000","N/A","1","","","0","1724573837.3851123","1724573837.3851123","Yes","Unknown metadata: Some file information couldn't be determined && Low bitrate (0.91 Mbps) may result in poor quality && Non-standard resolution: 640x352"
"/Volumes/media/media/movies/Kristopher Schau - Ti år med juling - på tide å få betalt! (2004)/Kristopher Schau - Ti år med juling - på tide å få betalt!-cd2.mkv","mkv","/Volumes/media/media/movies/Kristopher Schau - Ti år med juling - på tide å få betalt! (2004)","Kristopher Schau - Ti år med juling - på tide å få betalt!-cd2.mkv","564728530","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","90","1331530","640","352","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","3392.960000","25.000","mp3","MP3 (MPEG audio layer 3)","2","48000","112000","N/A","1","","","0","1724573765.6577506","1724573765.6577506","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 640x352"
