"File","Extension","File Path","Filename","File Size","Container Format","Codec","Codec Long Name","Profile","Level","Bitrate","Width","Height","Color Space","Color Primaries","Color Transfer","Color Range","Chroma Location","Field Order","Refs","Bits per Raw Sample","Pixel Format","HDR","Bit Depth","Duration","Frame Rate","Audio Codecs","Audio Codec Long Names","Audio Channels","Audio Sample Rates","Audio Bitrates","Audio Bit Depth","Audio Stream Count","Subtitle Languages","Subtitle Formats","Subtitle Stream Count","Creation Date","Modification Date","Issue Detected","Issue Description"
"/Volumes/media/media/movies/Downsizing (2017)/Downsizing (2017) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Downsizing (2017)","Downsizing (2017) Remux-2160p SDR Handbrake.mkv","19629151263","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19338050","3840","1604","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","8120.426000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723937947.993498","1723937947.993498","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1604"
"/Volumes/media/media/movies/Dumbo (1941)/Dumbo (1941) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Dumbo (1941)","Dumbo (1941) Bluray-1080p.mkv","2574493120","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","5367911","1920","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","3836.864000","23.976","dts, ac3, ac3, ac3, ac3, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3), ATSC A/52A (AC-3)","6, 6, 6, 6, 6, 2","48000, 48000, 48000, 48000, 48000, 48000","1536000, 640000, 640000, 640000, 640000, 320000","N/A, N/A, N/A, N/A, N/A, N/A","6","eng, eng, nor, swe, dan, fin","subrip, subrip, subrip, subrip, subrip, subrip","6","1724509704.375393","1724509704.375393","Yes","Non-standard audio codec(s): dts && High number of subtitle streams: 6 && Multiple audio streams: 6"
"/Volumes/media/media/movies/Dune (2021)/Dune (2021) WEBDL-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Dune (2021)","Dune (2021) WEBDL-2160p SDR Handbrake.mkv","22236614841","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19076874","3840","1604","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","9325.056000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723949885.2980773","1723949885.2980773","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1604"
"/Volumes/media/media/movies/Eternals (2021)/Eternals (2021) Remux-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Eternals (2021)","Eternals (2021) Remux-2160p SDR Handbrake.mkv","22868872126","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19566202","3840","1608","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","9350.357000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723962200.2624469","1723962200.2624469","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1608"
"/Volumes/media/media/movies/Ex Machina (2015)/Ex Machina (2015) Bluray-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Ex Machina (2015)","Ex Machina (2015) Bluray-2160p SDR Handbrake.mkv","15972490441","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19667330","3840","1606","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p","No","N/A","6497.065000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723968490.62898","1723968490.62898","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1606"
"/Volumes/media/media/movies/Fantasia (1940)/Fantasia (1940) Bluray-1080p.mkv","mkv","/Volumes/media/media/movies/Fantasia (1940)","Fantasia (1940) Bluray-1080p.mkv","4120897428","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","4414750","1440","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","7467.507000","23.976","dts, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3)","6, 6","48000, 48000","1536000, 448000","N/A, N/A","2","eng, nor","subrip, ass","2","1724541644.5171058","1724541644.5171058","Yes","Non-standard audio codec(s): dts && Non-standard resolution: 1440x1080"
"/Volumes/media/media/movies/Fantasia 2000 (1999)/Fantasia 2000 (1999) Bluray-1080p Proper.mkv","mkv","/Volumes/media/media/movies/Fantasia 2000 (1999)","Fantasia 2000 (1999) Bluray-1080p Proper.mkv","1800356584","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","3220152","1920","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","4472.724000","23.976","dts","DCA (DTS Coherent Acoustics)","6","48000","1536000","N/A","1","eng, pol","subrip, subrip","2","1724545392.9869254","1724545392.9869254","Yes","Non-standard audio codec(s): dts"
"/Volumes/media/media/movies/Fantastic Mr. Fox (2009)/Fantastic Mr. Fox (2009) Remux-1080p.mkv","mkv","/Volumes/media/media/movies/Fantastic Mr. Fox (2009)","Fantastic Mr. Fox (2009) Remux-1080p.mkv","3982926232","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","120","6103764","1920","1080","N/A","N/A","N/A","tv","left","progressive","1","N/A","yuv420p","No","N/A","5220.288000","23.976","dts, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3)","6, 2","48000, 48000","N/A, 192000","24, N/A","2","eng","hdmv_pgs_subtitle","1","1724541351.9968493","1724541351.9968493","Yes","Non-standard audio codec(s): dts && Potentially problematic subtitle format(s): hdmv_pgs_subtitle"
"/Volumes/media/media/movies/Fast X (2023)/Fast X (2023) Bluray-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Fast X (2023)","Fast X (2023) Bluray-2160p SDR Handbrake.mkv","20731329555","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19626142","3840","1608","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","8450.496000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1723131124.7955883","1723131124.7955883","Yes","Unknown metadata: Some file information couldn't be determined && Non-standard resolution: 3840x1608"
"/Volumes/media/media/movies/Fight Club (1999)/Fight Club (1999) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Fight Club (1999)","Fight Club (1999) WEBDL-2160p.mkv","30395305035","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","29126887","3840","2160","bt709","bt709","bt709","tv","left","N/A","1","N/A","yuv420p10le","No","10","8348.384000","23.976","dts, ac3, ac3","DCA (DTS Coherent Acoustics), ATSC A/52A (AC-3), ATSC A/52A (AC-3)","6, 6, 2","48000, 48000, 48000","N/A, 640000, 224000","24, N/A, N/A","3","eng","subrip","1","1660801798.1119196","1660801798.1119196","Yes","Non-standard audio codec(s): dts && High bitrate (29.13 Mbps) may cause buffering && High bit depth video: 10-bit"
"/Volumes/media/media/movies/Finding Dory (2016)/Finding Dory (2016) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Finding Dory (2016)","Finding Dory (2016) WEBDL-2160p.mkv","12573821835","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","17280563","3840","2160","N/A","N/A","N/A","pc","left","N/A","1","N/A","yuv420p10le","No","10","5821.024000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","768000","N/A","1","eng, eng, spa, chi","subrip, subrip, subrip, subrip","4","1710285434.0","1710285434.0","Yes","High bit depth video: 10-bit"
"/Volumes/media/media/movies/Finding Nemo (2003)/Finding Nemo (2003) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Finding Nemo (2003)","Finding Nemo (2003) WEBDL-2160p.mkv","13166448744","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","17400930","3840","2160","N/A","N/A","N/A","pc","left","N/A","1","N/A","yuv420p10le","No","10","6053.216000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","768000","N/A","1","eng, eng, cze, dan, gre, spa, fin, hun, ice, jpn, kor, dut, nor, pol, por, rum, slo, swe, tur, chi, chi, chi","subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip","22","1710285669.0","1710285669.0","Yes","High bit depth video: 10-bit && High number of subtitle streams: 22"
"/Volumes/media/media/movies/Frozen (2013)/Frozen (2013) WEBDL-2160p.mkv","mkv","/Volumes/media/media/movies/Frozen (2013)","Frozen (2013) WEBDL-2160p.mkv","13055776252","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main 10","150","16929872","3840","2160","N/A","N/A","N/A","pc","left","N/A","1","N/A","yuv420p10le","No","10","6169.344000","23.976","eac3","ATSC A/52B (AC-3, E-AC-3)","6","48000","256000","N/A","1","eng, eng","subrip, subrip","2","1710423924.0","1710423924.0","Yes","High bit depth video: 10-bit"
"/Volumes/media/media/movies/Full Metal Jacket (1987)/Full Metal Jacket (1987) WEBDL-2160p SDR Handbrake.mkv","mkv","/Volumes/media/media/movies/Full Metal Jacket (1987)","Full Metal Jacket (1987) WEBDL-2160p SDR Handbrake.mkv","76910658","matroska,webm","hevc","H.265 / HEVC (High Efficiency Video Coding)","Main","150","19632586","3840","2160","bt709","bt709","bt709","tv","topleft","N/A","1","N/A","yuv420p","No","N/A","31.340000","23.976","aac","AAC (Advanced Audio Coding)","2","48000","N/A","N/A","1","","","0","1724002822.4786158","1724002822.4786158","Yes","Unknown metadata: Some file information couldn't be determined"
