File	Extension	File Path	Filename	File Size	Container Format	Codec	Codec Long Name	Profile	Level	Bitrate	Width	Height	Color Space	Color Primaries	Color Transfer	Color Range	Chroma Location	Field Order	Refs	Bits per Raw Sample	Pixel Format	HDR	Bit Depth	Duration	Frame Rate	Audio Codecs	Audio Codec Long Names	Audio Channels	Audio Sample Rates	Audio Bitrates	Audio Bit Depth	Audio Stream Count	Subtitle Languages	Subtitle Formats	Subtitle Stream Count	Creation Date	Modification Date	Issue Detected	Issue Description	Unknown metadata	Non-standard video codec	Non-standard audio codec	Problematic subtitle format	High bitrate	Low bitrate	Non-standard resolution	Non-standard frame rate	High bit depth	HDR content	4K content	Complex video profile	Variable frame rate	Interlaced content	High subtitle stream count	Uncommon container format	Very high bitrate	Multiple audio streams
/Volumes/media/media/movies/Armageddon (1998)/Armageddon (1998) Bluray-1080p.mkv	mkv	/Volumes/media/media/movies/Armageddon (1998)	Armageddon (1998) Bluray-1080p.mkv	9386301560	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	8297103	1920	800	bt709	bt709	bt709	tv	left	progressive	1	N/A	yuv420p	No	N/A	9050.196000	23.976	dts	DCA (DTS Coherent Acoustics)	6	48000	N/A	24	1	eng, eng	dvd_subtitle, dvd_subtitle	2	1724551904.956749	1724551904.956749	Yes	Non-standard audio codec(s): dts && Potentially problematic subtitle format(s): dvd_subtitle, dvd_subtitle && Non-standard resolution: 1920x800	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/The Terminator (1984)/The Terminator (1984) Bluray-1080p.mkv	mkv	/Volumes/media/media/movies/The Terminator (1984)	The Terminator (1984) Bluray-1080p.mkv	2876117666	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	3570264	1920	1040	bt709	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	6444.605000	23.976	dts	DCA (DTS Coherent Acoustics)	6	48000	1536000	N/A	1	eng, bul, hrv, cze, spa, gre, hun, ita, pol, por, rum, rus, slv, tur, vie	subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip	15	1724595434.5246582	1724595434.5246582	Yes	Non-standard audio codec(s): dts && Non-standard resolution: 1920x1040 && High number of subtitle streams: 15	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
/Volumes/media/media/movies/Men in Black II (2002)/Men in Black II (2002) Bluray-1080p.mkv	mkv	/Volumes/media/media/movies/Men in Black II (2002)	Men in Black II (2002) Bluray-1080p.mkv	3325192096	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	5030274	1920	1040	bt709	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	5288.287000	23.976	dts	DCA (DTS Coherent Acoustics)	6	48000	1536000	N/A	1			0	1724575540.1897876	1724575540.1897876	Yes	Some file information couldn't be determined && Non-standard audio codec(s): dts && Non-standard resolution: 1920x1040	True	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/The Bourne Identity (2002)/The Bourne Identity (2002) Bluray-1080p.mkv	mkv	/Volumes/media/media/movies/The Bourne Identity (2002)	The Bourne Identity (2002) Bluray-1080p.mkv	3234891267	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	3636240	1920	816	N/A	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	7117.001000	23.976	dts, aac	DCA (DTS Coherent Acoustics), AAC (Advanced Audio Coding)	6, 2	48000, 48000	1536000, N/A	N/A, N/A	2	dan, dut, eng, eng, eng, eng, spa, spa, fin, fre, fre, ger, ger, ita, ita, nor, por, swe	subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip, subrip	18	1724586849.101921	1724586849.101921	Yes	Non-standard audio codec(s): dts && Non-standard resolution: 1920x816 && High number of subtitle streams: 18	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False
/Volumes/media/media/movies/I Am Legend (2007)/I Am Legend (2007) Bluray-2160p SDR Handbrake.mkv	mkv	/Volumes/media/media/movies/I Am Legend (2007)	I Am Legend (2007) Bluray-2160p SDR Handbrake.mkv	14063518257	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	150	18667329	3840	1600	bt709	bt709	bt709	tv	topleft	N/A	1	N/A	yuv420p	No	N/A	6027.008000	23.976	aac	AAC (Advanced Audio Coding)	2	48000	N/A	N/A	1			0	1724485648.66671	1724485648.66671	Yes	Some file information couldn't be determined && Non-standard resolution: 3840x1600	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/The King's Speech (2010)/The King's Speech (2010) Bluray-1080p.mkv	mkv	/Volumes/media/media/movies/The King's Speech (2010)	The King's Speech (2010) Bluray-1080p.mkv	2918007511	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main 10	120	3284136	1920	1080	bt709	bt709	bt709	tv	left	N/A	1	N/A	yuv420p10le	No	10	7108.128000	23.976	ac3	ATSC A/52A (AC-3)	6	48000	448000	N/A	1	eng	dvd_subtitle	1	1697724822.5157142	1697724822.5157142	Yes	Potentially problematic subtitle format(s): dvd_subtitle && High bit depth video: 10-bit	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/I, Robot (2004)/I, Robot (2004) Bluray-1080p Proper.mkv	mkv	/Volumes/media/media/movies/I, Robot (2004)	I, Robot (2004) Bluray-1080p Proper.mkv	4818307500	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	5598708	1920	1080	N/A	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	6884.884000	23.976	dts	DCA (DTS Coherent Acoustics)	6	48000	1536000	N/A	1			0	1724550742.0915604	1724550742.0915604	Yes	Some file information couldn't be determined && Non-standard audio codec(s): dts	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/The Hunger Games Mockingjay - Part 1 (2014)/The Hunger Games Mockingjay - Part 1 (2014) Bluray-1080p.mp4	mp4	/Volumes/media/media/movies/The Hunger Games Mockingjay - Part 1 (2014)	The Hunger Games Mockingjay - Part 1 (2014) Bluray-1080p.mp4	2056116655	mov,mp4,m4a,3gp,3g2,mj2	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main 10	120	2231742	1920	800	N/A	N/A	N/A	tv	left	N/A	1	N/A	yuv420p10le	No	10	7370.443000	23.976	aac	AAC (Advanced Audio Coding)	6	48000	224000	N/A	1			0	1697726268.5298944	1697726268.5298944	Yes	Some file information couldn't be determined && Non-standard resolution: 1920x800 && High bit depth video: 10-bit	True	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/Birdman or (The Unexpected Virtue of Ignorance) (2014)/Birdman or (The Unexpected Virtue of Ignorance) (2014) Bluray-1080p.mkv	mkv	/Volumes/media/media/movies/Birdman or (The Unexpected Virtue of Ignorance) (2014)	Birdman or (The Unexpected Virtue of Ignorance) (2014) Bluray-1080p.mkv	3227911948	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main	120	3608020	1920	1040	N/A	N/A	N/A	tv	left	progressive	1	N/A	yuv420p	No	N/A	7157.193000	23.976	dts	DCA (DTS Coherent Acoustics)	6	48000	1536000	N/A	1			0	1724566551.6581402	1724566551.6581402	Yes	Some file information couldn't be determined && Non-standard audio codec(s): dts && Non-standard resolution: 1920x1040	True	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False
/Volumes/media/media/movies/Reservoir Dogs (1992)/Reservoir Dogs (1992) WEBDL-2160p.mkv	mkv	/Volumes/media/media/movies/Reservoir Dogs (1992)	Reservoir Dogs (1992) WEBDL-2160p.mkv	18628370703	matroska,webm	hevc	H.265 / HEVC (High Efficiency Video Coding)	Main 10	150	25062656	3832	1624	bt2020nc	bt2020	smpte2084	tv	topleft	N/A	1	N/A	yuv420p10le	Yes	10	5946.176000	23.976	ac3	ATSC A/52A (AC-3)	6	48000	384000	N/A	1	eng	subrip	1	1666866938.0	1666866938.0	Yes	High bitrate (25.06 Mbps) may cause buffering && Non-standard resolution: 3832x1624 && High bit depth video: 10-bit && HDR content may require tone-mapping	False	False	False	False	True	False	True	False	True	True	False	False	False	False	False	False	False	False
